iter	Passed	Remaining
0	6	6925
1	13	6728
2	21	7049
3	29	7417
4	33	6706
5	41	6890
6	48	6822
7	51	6326
8	56	6244
9	61	6092
10	67	6056
11	70	5838
12	74	5625
13	81	5711
14	88	5793
15	94	5810
16	100	5795
17	105	5758
18	110	5701
19	115	5635
20	119	5566
21	125	5576
22	131	5566
23	137	5583
24	143	5608
25	149	5590
26	152	5490
27	157	5476
28	162	5440
29	167	5401
30	172	5380
31	176	5337
32	181	5311
33	185	5280
34	190	5260
35	196	5256
36	201	5248
37	206	5229
38	211	5219
39	216	5207
40	222	5208
41	227	5191
42	232	5185
43	241	5251
44	246	5238
45	252	5232
46	257	5211
47	262	5206
48	268	5202
49	272	5183
50	277	5161
51	282	5153
52	288	5157
53	293	5138
54	298	5124
55	303	5118
56	308	5103
57	314	5111
58	319	5103
59	325	5100
60	330	5084
61	337	5111
62	342	5099
63	347	5082
64	353	5079
65	357	5061
66	363	5064
67	368	5051
68	372	5023
69	377	5010
70	382	4998
71	387	4993
72	392	4988
73	397	4979
74	403	4975
75	408	4969
76	414	4970
77	419	4957
78	424	4949
79	429	4942
80	437	4960
81	442	4948
82	446	4936
83	451	4925
84	456	4918
85	461	4905
86	466	4897
87	470	4879
88	475	4866
89	480	4857
90	485	4852
91	490	4839
92	495	4828
93	501	4832
94	507	4834
95	513	4831
96	518	4828
97	523	4822
98	530	4824
99	536	4830
100	542	4830
101	549	4835
102	554	4829
103	559	4819
104	565	4816
105	572	4825
106	576	4814
107	583	4819
108	588	4813
109	597	4832
110	602	4825
111	608	4822
112	615	4834
113	622	4838
114	632	4863
115	638	4862
116	650	4911
117	666	4982
118	680	5037
119	686	5035
120	694	5048
121	701	5050
122	710	5066
123	717	5065
124	723	5066
125	735	5102
126	743	5113
127	749	5108
128	756	5108
129	764	5116
130	770	5113
131	779	5126
132	785	5121
133	795	5141
134	802	5139
135	811	5155
136	818	5153
137	828	5172
138	834	5168
139	843	5179
140	848	5171
141	854	5161
142	869	5210
143	876	5209
144	883	5210
145	892	5220
146	899	5218
147	904	5206
148	911	5207
149	918	5202
150	923	5191
151	934	5212
152	940	5208
153	946	5201
154	952	5191
155	958	5185
156	964	5179
157	969	5167
158	978	5176
159	983	5165
160	991	5165
161	997	5157
162	1002	5149
163	1008	5141
164	1014	5135
165	1024	5146
166	1030	5141
167	1038	5145
168	1045	5139
169	1050	5129
170	1056	5121
171	1062	5114
172	1068	5105
173	1074	5101
174	1079	5089
175	1085	5083
176	1092	5077
177	1096	5065
178	1102	5058
179	1108	5050
180	1113	5039
181	1118	5029
182	1125	5025
183	1130	5015
184	1138	5013
185	1143	5003
186	1149	4997
187	1156	4993
188	1163	4990
189	1168	4983
190	1174	4976
191	1180	4966
192	1186	4960
193	1191	4948
194	1196	4938
195	1202	4932
196	1208	4924
197	1213	4915
198	1221	4915
199	1227	4908
200	1232	4900
201	1237	4890
202	1243	4882
203	1248	4872
204	1254	4864
205	1260	4858
206	1266	4852
207	1271	4842
208	1277	4834
209	1283	4827
210	1288	4817
211	1293	4807
212	1299	4801
213	1305	4793
214	1310	4784
215	1317	4781
216	1322	4770
217	1327	4760
218	1332	4753
219	1337	4742
220	1343	4736
221	1349	4729
222	1354	4720
223	1359	4710
224	1365	4705
225	1371	4697
226	1377	4689
227	1382	4681
228	1387	4672
229	1393	4665
230	1400	4661
231	1405	4653
232	1412	4648
233	1418	4642
234	1423	4633
235	1430	4632
236	1436	4623
237	1442	4617
238	1447	4610
239	1453	4602
240	1461	4601
241	1466	4594
242	1472	4586
243	1477	4578
244	1483	4570
245	1488	4562
246	1494	4555
247	1500	4550
248	1506	4545
249	1513	4541
250	1519	4533
251	1524	4524
252	1532	4526
253	1542	4531
254	1552	4534
255	1561	4537
256	1570	4541
257	1579	4541
258	1588	4544
259	1596	4544
260	1605	4546
261	1614	4548
262	1626	4557
263	1631	4549
264	1642	4555
265	1648	4549
266	1661	4560
267	1666	4552
268	1674	4550
269	1680	4544
270	1693	4554
271	1702	4556
272	1713	4561
273	1724	4568
274	1729	4559
275	1739	4563
276	1745	4554
277	1757	4564
278	1762	4554
279	1773	4560
280	1779	4552
281	1790	4558
282	1797	4552
283	1809	4563
284	1815	4555
285	1827	4561
286	1836	4562
287	1846	4563
288	1857	4569
289	1862	4560
290	1873	4565
