iter	Logloss
0	0.5764607659
1	0.4846185898
2	0.4174350099
3	0.3627377092
4	0.3262331141
5	0.2949717296
6	0.2723208366
7	0.2576157218
8	0.2438140309
9	0.2350517217
10	0.2252546501
11	0.2204682077
12	0.2161685175
13	0.2119635138
14	0.2089131977
15	0.2055449712
16	0.2028337499
17	0.2000660467
18	0.1980879696
19	0.1970136502
20	0.1957864988
21	0.194644508
22	0.1939711693
23	0.1928343138
24	0.1912728444
25	0.1905094183
26	0.1900089559
27	0.1890931398
28	0.1888434739
29	0.1882806299
30	0.18741713
31	0.1869622647
32	0.1863167659
33	0.1860614558
34	0.1858697714
35	0.1852475347
36	0.1850338208
37	0.184684973
38	0.184091453
39	0.1837549973
40	0.1834587965
41	0.1832112371
42	0.1829070895
43	0.1825817747
44	0.1820968955
45	0.1818944449
46	0.1817871025
47	0.1815814307
48	0.181409726
49	0.1811728942
50	0.1811007506
51	0.1804893831
52	0.1801682919
53	0.1801162696
54	0.1800283629
55	0.1798752815
56	0.1798429276
57	0.1796892515
58	0.1794797493
59	0.1792757826
60	0.179234938
61	0.1790059097
62	0.178752076
63	0.1785617924
64	0.1782842908
65	0.1781988945
66	0.1777180548
67	0.1776433973
68	0.177628027
69	0.1774892902
70	0.177382283
71	0.1771930977
72	0.1768429544
73	0.1765871919
74	0.1764581172
75	0.1763416834
76	0.1760406359
77	0.1758596294
78	0.1754977661
79	0.1751487396
80	0.1748333369
81	0.174710986
82	0.1745901224
83	0.1745141324
84	0.1743640888
85	0.1743399732
86	0.1742652649
87	0.1740984958
88	0.1739806056
89	0.1736919692
90	0.1735402278
91	0.1734434437
92	0.1732573272
93	0.1729394937
94	0.17247804
95	0.1724038495
96	0.1720789799
97	0.1719255544
98	0.1716487916
99	0.1714811374
100	0.1712669461
101	0.1711180942
102	0.1707984779
103	0.1706668674
104	0.1704558233
105	0.1703402077
106	0.1701481907
107	0.1697030661
108	0.1693202782
109	0.1690304795
110	0.1686557896
111	0.1683766651
112	0.1681754907
113	0.1680128058
114	0.1678534622
115	0.1674074882
116	0.1671511558
117	0.1670624428
118	0.1669303311
119	0.1666343464
120	0.1663349199
121	0.1660193914
122	0.1656038031
123	0.1653693523
124	0.1651356258
125	0.1647144366
126	0.1643711854
127	0.163951296
128	0.1636792422
129	0.1635885637
130	0.1634607924
131	0.1633349791
132	0.1632077043
133	0.1628905336
134	0.1626593577
135	0.1625058449
136	0.1622395628
137	0.1619886092
138	0.1618614524
139	0.1616012287
140	0.1615306879
141	0.1614150983
142	0.1612751426
143	0.1611281444
144	0.1608922559
145	0.1607756633
146	0.1606270232
147	0.1602983386
148	0.1599554541
149	0.1596546054
150	0.1595936428
151	0.1595379706
152	0.1594718504
153	0.1591362222
154	0.1589612384
155	0.158830112
156	0.1586485001
157	0.1585725795
158	0.1583677111
159	0.1582639972
160	0.1581221243
161	0.1579411998
162	0.157695463
163	0.1575106677
164	0.1572649295
165	0.1570629894
166	0.1568538273
167	0.156692027
168	0.1563893741
169	0.1562971411
170	0.156204256
171	0.1559877058
172	0.1557498188
173	0.1556578807
174	0.1554340483
175	0.1552153139
176	0.1550715837
177	0.1549891359
178	0.1548623482
179	0.1547896867
180	0.1546938757
181	0.1545695286
182	0.1543992577
183	0.1543576223
184	0.1541771042
185	0.1539995626
186	0.1537730786
187	0.1536197456
188	0.153461408
189	0.1533095043
190	0.1531786503
191	0.1530592665
192	0.1528284156
193	0.152758384
194	0.1526466222
195	0.1523453335
196	0.1522241418
197	0.1521114634
198	0.1518049281
199	0.1515889637
200	0.1514828186
201	0.1514275082
202	0.1511920933
203	0.1511796352
204	0.1510136317
205	0.150859236
206	0.1507355157
207	0.1507111801
208	0.1505970786
209	0.1504140724
210	0.1503388993
211	0.1502364233
212	0.1501428756
213	0.1500666091
214	0.1498184984
215	0.1497541966
216	0.1496323419
217	0.149522526
218	0.1494795101
219	0.1493918151
220	0.149178071
221	0.1489129182
222	0.1487990091
223	0.148719737
224	0.1485627326
225	0.1484799998
226	0.1483043101
227	0.1482458898
228	0.1481831842
229	0.1479765343
230	0.1478538135
231	0.1475479396
232	0.1473671308
233	0.1471164242
234	0.1469362629
235	0.146755144
236	0.1465834132
237	0.1463261352
238	0.146261966
239	0.1461948903
240	0.146037311
241	0.1458792435
242	0.1457892287
243	0.1456980478
244	0.1455965471
245	0.145410997
246	0.1453554106
247	0.1452311658
248	0.145170467
249	0.1450188502
250	0.1449292871
251	0.1448123617
252	0.1446381093
253	0.1443659464
254	0.1440488094
255	0.1439342756
256	0.1438313529
257	0.1437076584
258	0.1435437827
259	0.1435223079
260	0.1434489869
261	0.1433897925
262	0.1431007314
263	0.1428319328
264	0.1427393183
265	0.1425687551
266	0.1424902559
267	0.1423682408
268	0.1420800592
269	0.1416072222
270	0.1415292572
271	0.1412770663
272	0.1412659748
273	0.1410951137
274	0.1408915254
275	0.1405650568
276	0.1404979258
277	0.1403546942
278	0.1403475986
279	0.1401300382
280	0.1398334182
281	0.1396946981
282	0.1395922552
283	0.1394744177
284	0.1394188795
285	0.1392036271
286	0.1389756814
287	0.1386959933
288	0.1385949388
289	0.1385201811
290	0.1382556247
291	0.138065612
292	0.1379009349
293	0.1378041404
294	0.1376127537
295	0.1374386879
296	0.1372021762
297	0.1369678085
298	0.1368684642
299	0.1366390462
300	0.1363337714
301	0.1362423622
302	0.1361342989
303	0.1359703856
304	0.1357322315
305	0.1354958624
306	0.1351587851
307	0.1349545559
308	0.1348651042
309	0.1347296597
310	0.1347155631
311	0.1346499963
312	0.1343409161
313	0.1341368414
314	0.1340423235
315	0.1339466772
316	0.1338902557
317	0.1336979754
318	0.1336225535
319	0.1335516569
320	0.1334077064
321	0.1332031121
322	0.1330163032
323	0.1328432654
324	0.1325331052
325	0.1323903844
