iter	Passed	Remaining
402	8856	13119
403	8871	13087
404	8885	13054
405	8902	13024
406	8918	12993
407	8931	12958
408	8945	12925
409	8959	12892
410	8972	12858
411	8988	12828
412	9001	12794
413	9015	12760
414	9028	12726
415	9040	12691
416	9053	12657
417	9068	12626
418	9081	12592
419	9096	12561
420	9110	12529
421	9124	12497
422	9137	12464
423	9151	12432
424	9168	12404
425	9181	12371
426	9198	12343
427	9213	12312
428	9226	12280
429	9240	12248
430	9257	12220
431	9271	12189
432	9284	12157
433	9299	12127
434	9315	12099
435	9329	12068
436	9345	12039
437	9359	12009
438	9375	11980
439	9390	11951
440	9405	11922
441	9420	11892
442	9435	11863
443	9450	11833
444	9463	11802
445	9477	11772
446	9489	11739
447	9505	11712
448	9518	11680
449	9531	11649
450	9545	11620
451	9558	11588
452	9571	11557
453	9587	11530
454	9603	11502
455	9616	11472
456	9630	11442
457	9642	11411
458	9655	11380
459	9669	11351
460	9684	11323
461	9700	11296
462	9714	11267
463	9729	11238
464	9743	11209
465	9756	11179
466	9768	11149
467	9782	11119
468	9798	11093
469	9814	11067
470	9831	11041
471	9848	11016
472	9862	10988
473	9874	10958
474	9889	10930
475	9909	10908
476	9927	10885
477	9940	10855
478	9954	10826
479	9967	10797
480	9982	10770
481	9997	10744
482	10011	10716
483	10025	10688
484	10038	10659
485	10052	10631
486	10067	10604
487	10080	10576
488	10096	10550
489	10110	10523
490	10126	10497
491	10142	10471
492	10157	10445
493	10176	10423
494	10216	10422
495	10271	10437
496	10302	10426
497	10325	10408
498	10351	10393
499	10381	10381
500	10405	10363
501	10429	10346
502	10452	10327
503	10472	10306
504	10497	10289
505	10517	10267
506	10535	10244
507	10551	10218
508	10566	10192
509	10582	10167
510	10602	10145
511	10619	10121
512	10634	10095
513	10649	10069
514	10664	10043
515	10679	10016
516	10693	9990
517	10707	9963
518	10726	9941
519	10741	9914
520	10757	9890
521	10775	9867
522	10791	9842
523	10817	9826
524	10843	9810
525	10880	9804
526	10905	9788
527	10932	9773
528	10959	9758
529	10987	9743
530	11014	9728
531	11032	9705
532	11049	9681
533	11066	9657
534	11088	9637
535	11108	9616
536	11124	9591
537	11141	9568
538	11159	9544
539	11176	9520
540	11193	9497
541	11215	9476
542	11232	9453
543	11252	9432
544	11277	9415
545	11296	9393
546	11319	9374
547	11342	9355
548	11363	9335
549	11383	9313
550	11399	9289
551	11416	9265
552	11436	9243
553	11451	9219
554	11467	9194
555	11483	9170
556	11506	9151
557	11522	9127
558	11539	9103
559	11555	9079
560	11570	9054
561	11584	9028
562	11599	9003
563	11615	8979
564	11630	8954
565	11646	8930
566	11663	8906
567	11678	8882
568	11693	8857
569	11709	8833
570	11726	8810
571	11744	8787
572	11758	8762
573	11773	8738
574	11791	8715
575	11809	8692
576	11827	8670
577	11844	8647
578	11859	8623
579	11876	8600
580	11894	8577
581	11911	8555
582	11931	8534
583	11947	8510
584	11964	8487
585	11979	8463
586	11995	8439
587	12011	8415
588	12030	8394
589	12046	8371
590	12061	8346
591	12075	8322
592	12090	8298
593	12108	8275
594	12124	8252
595	12139	8228
596	12154	8205
597	12170	8181
598	12185	8157
599	12198	8132
600	12214	8109
601	12232	8087
602	12245	8062
603	12261	8038
604	12276	8015
605	12291	7991
606	12307	7968
607	12327	7947
608	12342	7924
609	12358	7901
610	12375	7879
611	12392	7856
612	12407	7833
613	12424	7810
614	12442	7789
615	12469	7773
616	12489	7752
617	12505	7730
618	12525	7709
619	12543	7688
620	12561	7666
621	12585	7648
622	12601	7625
623	12617	7602
624	12632	7579
625	12647	7556
626	12661	7532
627	12678	7510
628	12693	7487
629	12711	7465
630	12727	7442
631	12742	7419
632	12757	7396
633	12773	7373
634	12787	7350
635	12803	7328
636	12820	7306
637	12836	7283
638	12852	7261
639	12868	7238
640	12884	7215
641	12900	7193
642	12914	7170
643	12929	7147
644	12943	7123
645	12956	7100
646	12971	7077
647	12985	7053
648	12999	7030
649	13015	7008
650	13029	6984
651	13042	6961
652	13058	6938
653	13071	6915
654	13085	6892
655	13100	6869
656	13116	6847
657	13132	6825
658	13146	6802
659	13159	6779
660	13173	6756
661	13186	6732
662	13199	6709
663	13215	6687
664	13228	6664
665	13242	6641
666	13255	6617
667	13268	6594
668	13283	6572
669	13297	6549
670	13315	6528
671	13326	6504
672	13339	6481
673	13353	6458
674	13368	6436
675	13381	6413
676	13395	6391
677	13407	6367
678	13425	6346
679	13439	6324
680	13455	6302
681	13469	6280
682	13482	6257
683	13499	6236
684	13516	6215
685	13531	6193
686	13546	6171
687	13559	6149
688	13573	6126
689	13590	6105
690	13603	6083
691	13618	6061
692	13633	6039
693	13647	6017
694	13662	5995
695	13674	5972
696	13688	5950
697	13701	5928
698	13717	5907
699	13731	5885
700	13745	5862
701	13758	5840
702	13772	5818
703	13784	5795
704	13801	5775
705	13818	5754
706	13832	5732
707	13850	5712
708	13874	5694
709	13952	5698
710	13982	5683
711	14011	5667
712	14030	5647
713	14047	5626
714	14063	5605
715	14080	5584
716	14098	5564
717	14113	5543
718	14133	5523
719	14148	5502
720	14163	5480
721	14180	5460
722	14195	5438
723	14210	5417
724	14230	5397
725	14247	5377
726	14263	5356
727	14278	5334
728	14296	5314
729	14311	5293
730	14330	5273
731	14345	5252
732	14362	5231
733	14380	5211
734	14398	5191
735	14426	5174
736	14460	5160
737	14494	5145
738	14533	5132
739	14571	5119
740	14602	5103
741	14625	5085
742	14650	5067
743	14672	5048
744	14690	5028
745	14709	5008
746	14727	4987
747	14750	4969
748	14767	4948
749	14786	4928
750	14804	4908
751	14823	4888
752	14841	4868
753	14859	4847
754	14878	4828
755	14896	4807
756	14911	4786
757	14935	4768
758	14955	4748
759	14974	4728
760	14993	4709
761	15010	4688
762	15029	4668
763	15049	4648
764	15072	4630
765	15093	4610
766	15112	4590
767	15151	4576
768	15184	4561
769	15220	4546
770	15253	4530
771	15277	4511
772	15306	4494
773	15335	4477
774	15360	4459
775	15385	4441
776	15402	4420
777	15421	4400
778	15439	4380
779	15461	4360
780	15477	4340
781	15492	4318
782	15507	4297
783	15521	4276
784	15535	4254
785	15549	4233
786	15564	4212
787	15578	4191
788	15592	4169
789	15604	4148
790	15618	4126
791	15635	4106
792	15650	4085
793	15664	4064
794	15679	4043
795	15694	4022
796	15709	4001
797	15727	3981
798	15741	3960
799	15760	3940
800	15787	3922
801	15812	3903
802	15835	3885
803	15864	3867
804	15883	3847
805	15904	3828
806	15921	3807
807	15940	3787
808	15968	3770
809	16000	3753
810	16019	3733
811	16037	3713
812	16051	3692
813	16068	3671
814	16085	3651
815	16099	3630
816	16115	3609
817	16132	3589
818	16148	3568
819	16165	3548
820	16181	3527
821	16197	3507
822	16213	3487
823	16231	3466
824	16245	3445
825	16260	3425
826	16276	3404
827	16294	3384
828	16311	3364
829	16328	3344
830	16343	3323
831	16362	3303
832	16379	3283
833	16394	3263
834	16412	3243
835	16429	3222
836	16446	3202
837	16463	3182
838	16478	3162
839	16497	3142
840	16513	3121
841	16528	3101
842	16544	3081
843	16566	3062
844	16612	3047
845	16652	3031
846	16672	3011
847	16699	2993
848	16718	2973
849	16734	2953
850	16748	2932
851	16761	2911
852	16778	2891
853	16794	2871
854	16809	2850
855	16824	2830
856	16841	2810
857	16856	2789
858	16873	2769
859	16887	2749
860	16902	2728
861	16918	2708
862	16934	2688
863	16946	2667
864	16960	2647
865	16977	2627
866	16992	2606
867	17008	2586
868	17025	2566
869	17042	2546
870	17057	2526
871	17074	2506
872	17090	2486
873	17111	2466
874	17131	2447
875	17178	2431
876	17218	2414
877	17248	2396
878	17271	2377
879	17295	2358
880	17313	2338
881	17331	2318
882	17348	2298
883	17365	2278
884	17381	2258
885	17397	2238
886	17414	2218
887	17430	2198
888	17448	2178
889	17463	2158
890	17479	2138
891	17497	2118
892	17514	2098
893	17531	2078
894	17550	2059
895	17567	2039
896	17583	2019
897	17599	1999
898	17612	1978
899	17628	1958
900	17648	1939
901	17666	1919
902	17684	1899
903	17705	1880
904	17723	1860
905	17740	1840
906	17765	1821
907	17788	1802
908	17814	1783
909	17845	1764
910	17868	1745
911	17887	1725
912	17910	1706
913	17953	1689
914	17981	1670
915	18011	1651
916	18043	1633
917	18062	1613
918	18081	1593
919	18101	1574
920	18123	1554
921	18148	1535
922	18170	1515
923	18196	1496
924	18225	1477
925	18250	1458
926	18279	1439
927	18306	1420
928	18329	1400
929	18352	1381
930	18387	1362
931	18444	1345
932	18472	1326
933	18492	1306
934	18506	1286
935	18522	1266
936	18540	1246
937	18557	1226
938	18573	1206
939	18595	1186
940	18612	1167
941	18627	1146
942	18643	1126
943	18657	1106
944	18670	1086
945	18684	1066
946	18696	1046
947	18709	1026
948	18724	1006
949	18742	986
950	18759	966
951	18773	946
952	18787	926
953	18799	906
954	18815	886
955	18830	866
956	18847	846
957	18861	826
958	18877	807
959	18892	787
960	18905	767
961	18919	747
962	18935	727
963	18949	707
964	18965	687
965	18978	667
966	18992	648
967	19006	628
968	19019	608
969	19038	588
970	19052	569
971	19067	549
972	19080	529
973	19099	509
974	19113	490
975	19128	470
976	19148	450
977	19165	431
978	19180	411
979	19194	391
980	19209	372
981	19224	352
982	19240	332
983	19260	313
984	19275	293
985	19291	273
986	19307	254
987	19325	234
988	19351	215
989	19373	195
990	19396	176
991	19418	156
992	19439	137
993	19460	117
994	19477	97
995	19499	78
996	19517	58
997	19536	39
998	19550	19
999	19566	0
